[s: 1553632770, ns: 949272248] temperature value is 0.000000
[s: 1553632777, ns: 948953097] temperature value is 70.000000
[s: 1553632778, ns: 48927098] light value is 70.000000
[s: 1553632778, ns: 48969918] temperature value is 71.000000
[s: 1553632778, ns: 149046621] light value is 71.000000
[s: 1553632778, ns: 149088382] temperature value is 72.000000
[s: 1553632778, ns: 249015033] light value is 72.000000
[s: 1553632778, ns: 249051446] temperature value is 73.000000
[s: 1553632778, ns: 349074571] light value is 73.000000
[s: 1553632778, ns: 349125200] temperature value is 74.000000
[s: 1553632778, ns: 449809877] light value is 74.000000
[s: 1553632778, ns: 450185326] temperature value is 75.000000
[s: 1553632778, ns: 549161257] light value is 75.000000
[s: 1553632778, ns: 549201972] temperature value is 76.000000
[s: 1553632778, ns: 649258931] temperature value is 77.000000
[s: 1553632778, ns: 650933043] light value is 76.000000
[s: 1553632778, ns: 749172641] light value is 77.000000
[s: 1553632778, ns: 749210885] temperature value is 78.000000
[s: 1553632778, ns: 848786187] temperature value is 79.000000
[s: 1553632778, ns: 848988126] light value is 78.000000
[s: 1553632778, ns: 948874645] light value is 79.000000
[s: 1553632778, ns: 949072549] temperature value is 80.000000
[s: 1553632779, ns: 49056339] temperature value is 81.000000
[s: 1553632779, ns: 49185701] light value is 80.000000
[s: 1553632779, ns: 149247593] temperature value is 82.000000
[s: 1553632779, ns: 149691110] light value is 81.000000
[s: 1553632779, ns: 249221664] temperature value is 83.000000
[s: 1553632779, ns: 249672494] light value is 82.000000
[s: 1553632779, ns: 349352945] temperature value is 84.000000
[s: 1553632779, ns: 350267235] light value is 83.000000
[s: 1553632779, ns: 449335376] light value is 84.000000
[s: 1553632779, ns: 449804870] temperature value is 85.000000
[s: 1553632779, ns: 549428348] light value is 85.000000
[s: 1553632779, ns: 549881656] temperature value is 86.000000
[s: 1553632779, ns: 649879509] temperature value is 87.000000
[s: 1553632779, ns: 650335253] light value is 86.000000
[s: 1553632779, ns: 748980138] light value is 87.000000
[s: 1553632779, ns: 749167489] temperature value is 88.000000
[s: 1553632779, ns: 848998178] temperature value is 89.000000
[s: 1553632779, ns: 850397779] light value is 88.000000
[s: 1553632779, ns: 949006357] light value is 89.000000
[s: 1553632779, ns: 949446511] temperature value is 90.000000
[s: 1553632780, ns: 49106063] light value is 90.000000
[s: 1553632780, ns: 49644201] temperature value is 91.000000
[s: 1553632780, ns: 149059529] light value is 91.000000
[s: 1553632780, ns: 149507658] temperature value is 92.000000
[s: 1553632780, ns: 249143002] light value is 92.000000
[s: 1553632780, ns: 249608538] temperature value is 93.000000
[s: 1553632780, ns: 349169209] light value is 93.000000
[s: 1553632780, ns: 349609891] temperature value is 94.000000
[s: 1553632780, ns: 449074399] temperature value is 95.000000
[s: 1553632780, ns: 449221724] light value is 94.000000
[s: 1553632780, ns: 549125630] light value is 95.000000
[s: 1553632780, ns: 549195250] temperature value is 96.000000
[s: 1553632780, ns: 649085362] light value is 96.000000
[s: 1553632780, ns: 649175437] temperature value is 97.000000
[s: 1553632780, ns: 749095446] light value is 97.000000
[s: 1553632780, ns: 749174188] temperature value is 98.000000
[s: 1553632780, ns: 849146309] light value is 98.000000
[s: 1553632780, ns: 849219200] temperature value is 99.000000
[s: 1553632780, ns: 949121746] temperature value is 100.000000
[s: 1553632780, ns: 949270332] light value is 99.000000
[s: 1553632781, ns: 49163932] light value is 100.000000
[s: 1553632781, ns: 49243824] temperature value is 101.000000
[s: 1553632781, ns: 148752405] temperature value is 102.000000
[s: 1553632781, ns: 148824949] light value is 101.000000
[s: 1553632781, ns: 248740882] light value is 102.000000
[s: 1553632781, ns: 248819311] temperature value is 103.000000
[s: 1553632781, ns: 348792752] light value is 103.000000
[s: 1553632781, ns: 348866985] temperature value is 104.000000
[s: 1553632781, ns: 448837771] temperature value is 105.000000
[s: 1553632781, ns: 448900511] light value is 104.000000
[s: 1553632781, ns: 548871781] light value is 105.000000
[s: 1553632781, ns: 548980541] temperature value is 106.000000
[s: 1553632781, ns: 648927523] temperature value is 107.000000
[s: 1553632781, ns: 648970671] light value is 106.000000
[s: 1553632781, ns: 749032738] light value is 107.000000
[s: 1553632781, ns: 749153686] temperature value is 108.000000
[s: 1553632781, ns: 849054464] light value is 108.000000
[s: 1553632781, ns: 849136013] temperature value is 109.000000
[s: 1553632781, ns: 948748523] light value is 109.000000
[s: 1553632781, ns: 948842414] temperature value is 110.000000
[s: 1553632782, ns: 49531115] light value is 110.000000
[s: 1553632782, ns: 50114270] temperature value is 111.000000
[s: 1553632782, ns: 149847354] light value is 111.000000
[s: 1553632782, ns: 150016338] temperature value is 112.000000
[s: 1553632782, ns: 249015355] light value is 112.000000
[s: 1553632782, ns: 249085330] temperature value is 113.000000
[s: 1553632782, ns: 349497155] temperature value is 114.000000
[s: 1553632782, ns: 349628660] light value is 113.000000
[s: 1553632782, ns: 448999602] light value is 114.000000
[s: 1553632782, ns: 449068505] temperature value is 115.000000
[s: 1553632782, ns: 548967385] light value is 115.000000
[s: 1553632782, ns: 549038450] temperature value is 116.000000
[s: 1553632782, ns: 649081908] light value is 116.000000
[s: 1553632782, ns: 649154383] temperature value is 117.000000
[s: 1553632782, ns: 749111951] light value is 117.000000
[s: 1553632782, ns: 749180914] temperature value is 118.000000
[s: 1553636955, ns: 778988535] temperature value is 0.000000
[s: 1553636955, ns: 878526274] temperature value is 1.000000
[s: 1553636955, ns: 879678489] light value is 0.000000
[s: 1553636955, ns: 978207691] temperature value is 2.000000
[s: 1553636955, ns: 979396376] light value is 1.000000
[s: 1553636956, ns: 78212066] temperature value is 3.000000
[s: 1553636956, ns: 79421655] light value is 2.000000
[s: 1553636956, ns: 180475248] temperature value is 4.000000
[s: 1553636956, ns: 180789519] light value is 3.000000
[s: 1553636956, ns: 278129190] temperature value is 5.000000
[s: 1553636956, ns: 279559313] light value is 4.000000
[s: 1553636956, ns: 378605003] temperature value is 6.000000
[s: 1553636956, ns: 379790135] light value is 5.000000
[s: 1553636956, ns: 478477792] temperature value is 7.000000
[s: 1553636956, ns: 482675368] light value is 6.000000
[s: 1553636956, ns: 578456816] temperature value is 8.000000
[s: 1553636956, ns: 579716603] light value is 7.000000
[s: 1553636956, ns: 678244840] temperature value is 9.000000
[s: 1553636956, ns: 680617588] light value is 8.000000
[s: 1553636956, ns: 778493400] temperature value is 10.000000
[s: 1553636956, ns: 782674144] light value is 9.000000
[s: 1553636956, ns: 878698544] temperature value is 11.000000
[s: 1553636956, ns: 879700639] light value is 10.000000
[s: 1553636956, ns: 979407177] light value is 11.000000
[s: 1553636956, ns: 979552813] temperature value is 12.000000
[s: 1553636957, ns: 78979599] temperature value is 13.000000
[s: 1553636957, ns: 79620102] light value is 12.000000
[s: 1553636957, ns: 187704037] light value is 13.000000
[s: 1553636957, ns: 214738880] temperature value is 14.000000
[s: 1553636957, ns: 280044919] temperature value is 15.000000
[s: 1553636957, ns: 280656155] light value is 14.000000
[s: 1553636957, ns: 378583053] temperature value is 16.000000
[s: 1553636957, ns: 379261439] light value is 15.000000
[s: 1553636957, ns: 478446775] temperature value is 17.000000
[s: 1553636957, ns: 480367994] light value is 16.000000
[s: 1553636957, ns: 579026700] temperature value is 18.000000
[s: 1553636957, ns: 579748723] light value is 17.000000
[s: 1553641344, ns: 869407673] temperature value is 0.000000
[s: 1553641344, ns: 968301457] temperature value is 1.000000
[s: 1553641344, ns: 969557153] light value is 0.000000
[s: 1553641345, ns: 69146203] temperature value is 2.000000
[s: 1553641345, ns: 69375590] light value is 1.000000
[s: 1553641345, ns: 168956609] temperature value is 3.000000
[s: 1553641345, ns: 169237032] light value is 2.000000
[s: 1553641345, ns: 268748227] temperature value is 4.000000
[s: 1553641345, ns: 269884897] light value is 3.000000
[s: 1553641345, ns: 368823558] light value is 4.000000
[s: 1553641345, ns: 371543888] temperature value is 5.000000
[s: 1553641345, ns: 469235125] temperature value is 6.000000
[s: 1553641345, ns: 471666874] light value is 5.000000
[s: 1553641345, ns: 568450460] light value is 6.000000
[s: 1553641345, ns: 574892288] temperature value is 7.000000
[s: 1553641345, ns: 668598779] light value is 7.000000
[s: 1553641345, ns: 669739880] temperature value is 8.000000
[s: 1553641345, ns: 768828338] temperature value is 9.000000
[s: 1553641345, ns: 769007428] light value is 8.000000
[s: 1553641345, ns: 868423032] temperature value is 10.000000
[s: 1553641345, ns: 868671863] light value is 9.000000
[s: 1553641345, ns: 968658183] temperature value is 11.000000
[s: 1553641345, ns: 969060307] light value is 10.000000
[s: 1553641403, ns: 797974795] temperature value is 0.000000
[s: 1553641403, ns: 898331527] temperature value is 1.000000
[s: 1553641403, ns: 898734805] light value is 0.000000
[s: 1553641403, ns: 997652866] light value is 1.000000
[s: 1553641403, ns: 997845042] temperature value is 2.000000
[s: 1553641404, ns: 97771056] light value is 2.000000
[s: 1553641404, ns: 98202206] temperature value is 3.000000
[s: 1553641404, ns: 198685963] light value is 3.000000
[s: 1553641953, ns: 833196962] temperature value is 0.000000
[s: 1553641953, ns: 931666370] temperature value is 1.000000
[s: 1553641953, ns: 938787561] light value is 0.000000
[s: 1553641954, ns: 31656080] temperature value is 2.000000
[s: 1553641954, ns: 32657664] light value is 1.000000
[s: 1553641954, ns: 131726937] temperature value is 3.000000
[s: 1553641954, ns: 132888640] light value is 2.000000
[s: 1553641954, ns: 232846698] light value is 3.000000
[s: 1553642064, ns: 618132604] temperature value is 0.000000
[s: 1553642064, ns: 716941422] temperature value is 1.000000
[s: 1553642064, ns: 719754610] light value is 0.000000
[s: 1553642064, ns: 816763270] temperature value is 2.000000
[s: 1553642064, ns: 817509491] light value is 1.000000
[s: 1553642064, ns: 916823906] temperature value is 3.000000
[s: 1553642064, ns: 917942965] light value is 2.000000
[s: 1553642065, ns: 18009500] light value is 3.000000
[s: 1553642235, ns: 762354885] temperature value is 0.000000
[s: 1553642235, ns: 862884699] temperature value is 1.000000
[s: 1553642235, ns: 864910677] light value is 0.000000
[s: 1553642235, ns: 965252784] temperature value is 2.000000
[s: 1553642235, ns: 967906979] light value is 1.000000
[s: 1553642236, ns: 62561518] temperature value is 3.000000
[s: 1553642236, ns: 62977962] light value is 2.000000
[s: 1553642236, ns: 163510227] light value is 3.000000
[s: 1553642848, ns: 892093078] temperature value is 0.000000
[s: 1553642848, ns: 996037313] temperature value is 1.000000
[s: 1553642848, ns: 998126780] light value is 0.000000
[s: 1553642849, ns: 92644734] temperature value is 2.000000
[s: 1553642849, ns: 94278792] light value is 1.000000
[s: 1553642849, ns: 192852321] temperature value is 3.000000
[s: 1553642849, ns: 194162991] light value is 2.000000
[s: 1553642849, ns: 294158966] light value is 3.000000
[s: 1553642938, ns: 565216497] temperature value is 0.000000
[s: 1553642938, ns: 664688641] temperature value is 1.000000
[s: 1553642938, ns: 665811898] light value is 0.000000
[s: 1553642938, ns: 764608806] temperature value is 2.000000
[s: 1553642938, ns: 765700600] light value is 1.000000
[s: 1553642938, ns: 864550750] temperature value is 3.000000
[s: 1553642938, ns: 865686442] light value is 2.000000
[s: 1553642938, ns: 966117830] light value is 3.000000
[s: 1553643069, ns: 265568629] temperature value is 0.000000
[s: 1553643069, ns: 365014496] light value is 0.000000
[s: 1553643069, ns: 366961543] temperature value is 1.000000
[s: 1553643069, ns: 465150444] light value is 1.000000
[s: 1553643069, ns: 466103604] temperature value is 2.000000
[s: 1553643069, ns: 565038816] light value is 2.000000
[s: 1553643069, ns: 566335000] temperature value is 3.000000
[s: 1553643069, ns: 665575068] light value is 3.000000
[s: 1553643238, ns: 534055644] temperature value is 0.000000
[s: 1553643238, ns: 633788183] light value is 0.000000
[s: 1553643238, ns: 635988049] temperature value is 1.000000
[s: 1553643238, ns: 733667421] light value is 1.000000
[s: 1553643238, ns: 733829152] temperature value is 2.000000
[s: 1553643238, ns: 833613997] light value is 2.000000
[s: 1553643238, ns: 834862187] temperature value is 3.000000
[s: 1553643238, ns: 940046130] light value is 3.000000
[s: 1553643296, ns: 158383373] temperature value is 0.000000
[s: 1553643296, ns: 258102637] temperature value is 1.000000
[s: 1553643296, ns: 260933939] light value is 0.000000
[s: 1553643296, ns: 358602442] temperature value is 2.000000
[s: 1553643296, ns: 359875418] light value is 1.000000
[s: 1553643296, ns: 458440921] temperature value is 3.000000
[s: 1553643296, ns: 459402965] light value is 2.000000
[s: 1553643296, ns: 559793441] light value is 3.000000
[s: 1553643425, ns: 68390509] temperature value is 0.000000
[s: 1553643425, ns: 164333572] light value is 0.000000
[s: 1553643425, ns: 168931316] temperature value is 1.000000
[s: 1553643425, ns: 264467497] light value is 1.000000
[s: 1553643425, ns: 268699712] temperature value is 2.000000
[s: 1553643425, ns: 364394751] light value is 2.000000
[s: 1553643425, ns: 368898291] temperature value is 3.000000
[s: 1553643425, ns: 464683144] light value is 3.000000
[s: 1553644053, ns: 562947483] temperature value is 0.000000
[s: 1553644053, ns: 662950105] temperature value is 1.000000
[s: 1553644053, ns: 663055925] light value is 0.000000
[s: 1553644053, ns: 762795982] temperature value is 2.000000
[s: 1553644053, ns: 762903501] light value is 1.000000
[s: 1553644053, ns: 862982333] light value is 2.000000
[s: 1553644053, ns: 863087860] temperature value is 3.000000
[s: 1553644053, ns: 962828574] light value is 3.000000
[s: 1553644249, ns: 890977998] temperature value is 0.000000
[s: 1553644249, ns: 990267700] light value is 0.000000
[s: 1553644250, ns: 4249132] temperature value is 1.000000
[s: 1553644250, ns: 90009089] light value is 1.000000
[s: 1553644250, ns: 91469734] temperature value is 2.000000
[s: 1553644250, ns: 189818741] light value is 2.000000
[s: 1553644250, ns: 191716240] temperature value is 3.000000
[s: 1553644250, ns: 289977903] light value is 3.000000
[s: 1553644507, ns: 538499124] temperature value is 0.000000
[s: 1553644507, ns: 638054786] light value is 0.000000
[s: 1553644507, ns: 639176436] temperature value is 1.000000
[s: 1553644507, ns: 738936326] temperature value is 2.000000
[s: 1553644507, ns: 739196616] light value is 1.000000
[s: 1553644507, ns: 838169551] light value is 2.000000
[s: 1553644507, ns: 838830663] temperature value is 3.000000
[s: 1553644507, ns: 938008427] light value is 3.000000
[s: 1553645452, ns: 211558841] temperature value is 0.000000
[s: 1553645452, ns: 310757325] temperature value is 1.000000
[s: 1553645452, ns: 314714518] light value is 0.000000
[s: 1553645452, ns: 411446639] temperature value is 2.000000
[s: 1553645452, ns: 414564622] light value is 1.000000
[s: 1553645452, ns: 510709324] temperature value is 3.000000
[s: 1553645452, ns: 513671608] light value is 2.000000
[s: 1553645452, ns: 614359311] light value is 3.000000
[s: 1553646070, ns: 339505816] temperature value is 0.000000
[s: 1553646070, ns: 431814435] temperature value is 1.000000
[s: 1553646070, ns: 432559967] light value is 0.000000
[s: 1553646070, ns: 531611395] temperature value is 2.000000
[s: 1553646070, ns: 534491381] light value is 1.000000
[s: 1553646070, ns: 631293887] temperature value is 3.000000
[s: 1553646070, ns: 638810703] light value is 2.000000
[s: 1553646070, ns: 732708309] light value is 3.000000
[s: 1553648361, ns: 85717650] temperature value is 0.000000
[s: 1553648361, ns: 185374123] temperature value is 1.000000
[s: 1553648361, ns: 190678496] light value is 0.000000
[s: 1553648361, ns: 285292989] temperature value is 2.000000
[s: 1553648361, ns: 285376015] light value is 1.000000
[s: 1553648361, ns: 385395972] temperature value is 3.000000
[s: 1553648361, ns: 385512309] light value is 2.000000
[s: 1553648361, ns: 485491189] light value is 3.000000
